sie	ɕ ɛ
internowany	i n t ɛ r n ɔ v a n ɘ
interpretowane	i n t ɛ r p r ɛ t ɔ v a n ɛ
inwestycyjną	i n v ɛ s t ɘ t͡s ɘ j n ɔ w̃
jag	j a k
jednakowej	j ɛ d n a k ɔ v ɛ j
jericho	j ɛ r i x ɔ
jewel	j ɛ v ɛ l
judasza	j u d a ʂ a
kadrach	k a d r a x
kanclerzem	k a n t͡s l ɛ ʐ ɛ m
katyńska	k a t ɘ ɲ s k a
keiko	k ɛ i k ɔ
kibicem	k i b i t͡s ɛ m
kidawa	k i d a v a
klasową	k l a s ɔ v ɔ w̃
kleryków	k l ɛ r ɘ k u f
klinicznym	k l i ɲ i t͡ʂ n ɘ m
koncertowo	k ɔ n t͡s ɛ r t ɔ v ɔ
konsultację	k ɔ n s u l t a t͡s j ɛ
kontynuuj	k ɔ n t ɘ n u u j
kraby	k r a b ɘ
kredy	k r ɛ d ɘ
kremówki	k r ɛ m u f k i
krzysiu	k ʂ ɘ ɕ u
kuszące	k u ʂ ɔ n t͡s ɛ
kuzynami	k u z ɘ n a m i
kwadratowa	k f a d r a t ɔ v a
laboratoryjny	l a b ɔ r a t ɔ r ɘ j n ɘ
later	l a t ɛ r
laurel	l a w r ɛ l
liczną	l i t͡ʂ n ɔ w̃
limy	l i m ɘ
lingua	l i ŋ ɡ u a
listopadowe	l i s t ɔ p a d ɔ v ɛ
locke	l ɔ t͡s k ɛ
logana	l ɔ ɡ a n a
lolo	l ɔ l ɔ
londynem	l ɔ n d ɘ n ɛ m
ludki	l u t k i
magnetyczna	m a ɡ n ɛ t ɘ t͡ʂ n a
majty	m a j t ɘ
maleńkie	m a l ɛ ɲ k j ɛ
marszy	m a r ʂ ɘ
marynarza	m a r ɘ n a ʐ a
małachowski	m a w a x ɔ f s k i
małpami	m a w p a m i
mechanice	m ɛ x a ɲ i t͡s ɛ
melo	m ɛ l ɔ
memami	m ɛ m a m i
miejscowością	m j ɛ j s t͡s ɔ v ɔ ɕ t͡ɕ ɔ w̃
miesiaca	m j ɛ ɕ a t͡s a
milionerzy	m i l j ɔ n ɛ ʐ ɘ
mineralnej	m i n ɛ r a l n ɛ j
mogly	m ɔ ɡ l ɘ
moses	m ɔ s ɛ s
motocyklowych	m ɔ t ɔ t͡s ɘ k l ɔ v ɘ x
możliwymi	m ɔ ʐ l i v ɘ m i
mumbaju	m u m b a j u
myśliwca	m ɘ ɕ l i f t͡s a
nachodzi	n a x ɔ d͡ʑ i
nadajniki	n a d a j ɲ i k i
nadający	n a d a j ɔ n t͡s ɘ
nadmorskich	n a d m ɔ r s k i x
nadzorowane	n a d͡z ɔ r ɔ v a n ɛ
nadąża	n a d ɔ n ʐ a
nagrywasz	n a ɡ r ɘ v a ʂ
najcenniejszy	n a j t͡s ɛ n ɲ ɛ j ʂ ɘ
najszerzej	n a j ʂ ɛ ʐ ɛ j
najtańsza	n a j t a ɲ ʂ a
nakręcone	n a k r ɛ n t͡s ɔ n ɛ
naruszania	n a r u ʂ a ɲ a
nauczcie	n a u t͡ʂ t͡ɕ ɛ
naziemne	n a ʑ ɛ m n ɛ
naśmiewa	n a ɕ m j ɛ v a
needs	n i t s
nieaktywne	ɲ ɛ a k t ɘ v n ɛ
nieczystości	ɲ ɛ t͡ʂ ɘ s t ɔ ɕ t͡ɕ i
niedobory	ɲ ɛ d ɔ b ɔ r ɘ
nieodwracalnie	ɲ ɛ ɔ d v r a t͡s a l ɲ ɛ
nieoficjalnym	ɲ ɛ ɔ f i t͡s j a l n ɘ m
niepubliczne	ɲ ɛ p u b l i t͡ʂ n ɛ
nierozsądne	ɲ ɛ r ɔ s s ɔ n d n ɛ
nieskuteczna	ɲ ɛ s k u t ɛ t͡ʂ n a
nieszczęśliwa	ɲ ɛ ʂ t͡ʂ ɛ w̃ ɕ l i v a
niewierzących	ɲ ɛ v j ɛ ʐ ɔ n t͡s ɘ x
niewłaściwej	ɲ ɛ v w a ɕ t͡ɕ i v ɛ j
ninę	ɲ i n ɛ
niuanse	ɲ u a n s ɛ
normana	n ɔ r m a n a
noworodki	n ɔ v ɔ r ɔ t k i
obchodzili	ɔ p x ɔ d͡ʑ i l i
obchodzisz	ɔ p x ɔ d͡ʑ i ʂ
obiecujesz	ɔ b j ɛ t͡s u j ɛ ʂ
obozowiska	ɔ b ɔ z ɔ v i s k a
obrazkowa	ɔ b r a s k ɔ v a
obrzydza	ɔ b ʐ ɘ d͡z a
obrzydzeniem	ɔ b ʐ ɘ d͡z ɛ ɲ ɛ m
odbywającym	ɔ d b ɘ v a j ɔ n t͡s ɘ m
odnośnika	ɔ d n ɔ ɕ ɲ i k a
odnośników	ɔ d n ɔ ɕ ɲ i k u f
odpowiedziec	ɔ t p ɔ v j ɛ d͡ʑ ɛ t͡s
odpuszczam	ɔ t p u ʂ t͡ʂ a m
odstępstwa	ɔ t s t ɛ m p s t f a
odwiedzic	ɔ d v j ɛ d͡ʑ i t͡s
odwrotnego	ɔ d v r ɔ t n ɛ ɡ ɔ
ognisk	ɔ ɡ ɲ i s k
okazałości	ɔ k a z a w ɔ ɕ t͡ɕ i
okręgowych	ɔ k r ɛ ŋ ɡ ɔ v ɘ x
okularami	ɔ k u l a r a m i
operował	ɔ p ɛ r ɔ v a w
opozycyjny	ɔ p ɔ z ɘ t͡s ɘ j n ɘ
organizatorka	ɔ r ɡ a ɲ i z a t ɔ r k a
osadzeni	ɔ s a d͡z ɛ ɲ i
ostrowcu	ɔ s t r ɔ f t͡s u
otwierane	ɔ t f j ɛ r a n ɛ
papierowa	p a p j ɛ r ɔ v a
parks	p a r k s
partyzantki	p a r t ɘ z a n t k i
pascala	p a s t͡s a l a
passion	p a s ɕ ɔ n
paulista	p a w l i s t a
pawilonu	p a v i l ɔ n u
pańską	p a ɲ s k ɔ w̃
personalnego	p ɛ r s ɔ n a l n ɛ ɡ ɔ
piechociński	p j ɛ x ɔ t͡ɕ i ɲ s k i
pierdolonej	p j ɛ r d ɔ l ɔ n ɛ j
pietra	p j ɛ t r a
pionierem	p j ɔ ɲ ɛ r ɛ m
piotrowicza	p j ɔ t r ɔ v i t͡ʂ a
plastikowa	p l a s t i k ɔ v a
platinum	p l a t i n u m
platona	p l a t ɔ n a
plenerze	p l ɛ n ɛ ʐ ɛ
pociągają	p ɔ t͡ɕ ɔ ŋ ɡ a j ɔ w̃
pocztowym	p ɔ t͡ʂ t ɔ v ɘ m
podwyższonym	p ɔ d v ɘ ʂ ʂ ɔ n ɘ m
podłączenie	p ɔ d w ɔ n t͡ʂ ɛ ɲ ɛ
pojawiało	p ɔ j a v j a w ɔ
pokazujących	p ɔ k a z u j ɔ n t͡s ɘ x
pokemonów	p ɔ k ɛ m ɔ n u f
pokrzywdzonego	p ɔ k ʂ ɘ v d͡z ɔ n ɛ ɡ ɔ
politologii	p ɔ l i t ɔ l ɔ ɡ j i
poll	p ɔ l l
pomijają	p ɔ m i j a j ɔ w̃
pomyślałaś	p ɔ m ɘ ɕ l a w a ɕ
pontiac	p ɔ n t j a t͡s
pornografię	p ɔ r n ɔ ɡ r a f j ɛ
posiadającą	p ɔ ɕ a d a j ɔ n t͡s ɔ w̃
postawionego	p ɔ s t a v j ɔ n ɛ ɡ ɔ
poszczególnym	p ɔ ʂ t͡ʂ ɛ ɡ u l n ɘ m
potwierdzasz	p ɔ t f j ɛ r d͡z a ʂ
powiedziales	p ɔ v j ɛ d͡ʑ a l ɛ s
powierzchniowych	p ɔ v j ɛ ʂ x ɲ ɔ v ɘ x
powołań	p ɔ v ɔ w a ɲ
powstawała	p ɔ f s t a v a w a
poziomych	p ɔ ʑ ɔ m ɘ x
pozostające	p ɔ z ɔ s t a j ɔ n t͡s ɛ
pozuje	p ɔ z u j ɛ
pozwole	p ɔ z v ɔ l ɛ
poświęci	p ɔ ɕ f j ɛ ɲ t͡ɕ i
prawosławnej	p r a v ɔ s w a v n ɛ j
prestiżowa	p r ɛ s t i ʐ ɔ v a
pretekstu	p r ɛ t ɛ k s t u
prey	p r ɛ j
proszki	p r ɔ ʂ k i
prozaicy	p r ɔ z a i t͡s ɘ
przechowywany	p ʂ ɛ x ɔ v ɘ v a n ɘ
przegrywał	p ʂ ɛ ɡ r ɘ v a w
przekraczania	p ʂ ɛ k r a t͡ʂ a ɲ a
przespałam	p ʂ ɛ s p a w a m
przetłumaczono	p ʂ ɛ t w u m a t͡ʂ ɔ n ɔ
przewidywanych	p ʂ ɛ v i d ɘ v a n ɘ x
przewidzianych	p ʂ ɛ v i d͡ʑ a n ɘ x
przewiezione	p ʂ ɛ v j ɛ ʑ ɔ n ɛ
przyjemną	p ʂ ɘ j ɛ m n ɔ w̃
przyjeżdżał	p ʂ ɘ j ɛ ʐ d͡ʐ a w
przyjętego	p ʂ ɘ j ɛ n t ɛ ɡ ɔ
przypisanie	p ʂ ɘ p i s a ɲ ɛ
przystąpieniu	p ʂ ɘ s t ɔ m p j ɛ ɲ u
przyzwoitą	p ʂ ɘ z v ɔ i t ɔ w̃
przyłącza	p ʂ ɘ w ɔ n t͡ʂ a
próbną	p r u b n ɔ w̃
ratuszem	r a t u ʂ ɛ m
robaków	r ɔ b a k u f
robotniczych	r ɔ b ɔ t ɲ i t͡ʂ ɘ x
rohan	r ɔ x a n
rojo	r ɔ j ɔ
roller	r ɔ l ɛ r
rozgrywającej	r ɔ z ɡ r ɘ v a j ɔ n t͡s ɛ j
rozstrzelany	r ɔ s s t ʂ ɛ l a n ɘ
rules	r u l ɛ s
rybacka	r ɘ b a t͡s k a
rzeczywistosc	ʐ ɛ t͡ʂ ɘ v i s t ɔ s t͡s
rzucający	ʐ u t͡s a j ɔ n t͡s ɘ
saab	s a a p
salazara	s a l a z a r a
sanepidu	s a n ɛ p i d u
saryusz	s a r ɘ u ʂ
schulza	s x u l z a
sekcją	s ɛ k t͡s j ɔ w̃
sekwencję	s ɛ k f ɛ n t͡s j ɛ
selfies	s ɛ l f j ɛ s
sexual	s ɛ k s u a l
shang	ʂ a ŋ k
sidi	ɕ i d i
siedząca	ɕ ɛ d͡z ɔ n t͡s a
sieradzu	ɕ ɛ r a d͡z u
sis	ɕ i s
skautów	s k a w t u f
skieruje	s k j ɛ r u j ɛ
skills	s k i l s
skrócono	s k r u t͡s ɔ n ɔ
skutecznością	s k u t ɛ t͡ʂ n ɔ ɕ t͡ɕ ɔ w̃
składającą	s k w a d a j ɔ n t͡s ɔ w̃
smartfonie	s m a r t f ɔ ɲ ɛ
smerfy	s m ɛ r f ɘ
solidarnej	s ɔ l i d a r n ɛ j
sosa	s ɔ s a
spacji	s p a t͡s j i
spełnianiu	s p ɛ w ɲ a ɲ u
spierdala	s p j ɛ r d a l a
spocie	s p ɔ t͡ɕ ɛ
sprzedające	s p ʂ ɛ d a j ɔ n t͡s ɛ
spędzimy	s p ɛ ɲ d͡ʑ i m ɘ
starzeją	s t a ʐ ɛ j ɔ w̃
stomilu	s t ɔ m i l u
stołka	s t ɔ w k a
strip	s t r i p
stwierdziliśmy	s t f j ɛ r d͡ʑ i l i ɕ m ɘ
stworzeniami	s t f ɔ ʐ ɛ ɲ a m i
swiss	s f i s
szalonej	ʂ a l ɔ n ɛ j
szambie	ʂ a m b j ɛ
szklanego	ʂ k l a n ɛ ɡ ɔ
szlachetnej	ʂ l a x ɛ t n ɛ j
sztywnych	ʂ t ɘ v n ɘ x
szwankuje	ʂ f a ŋ k u j ɛ
szy	ʂ ɘ
szykujemy	ʂ ɘ k u j ɛ m ɘ
tadżykistanie	t a d͡ʐ ɘ k i s t a ɲ ɛ
tafli	t a f l i
testowany	t ɛ s t ɔ v a n ɘ
toczył	t ɔ t͡ʂ ɘ w
totalitarnym	t ɔ t a l i t a r n ɘ m
traugutta	t r a w ɡ u t t a
tyranem	t ɘ r a n ɛ m
tytul	t ɘ t u l
ubranka	u b r a n k a
udokumentowanych	u d ɔ k u m ɛ n t ɔ v a n ɘ x
udziałowcem	u d͡ʑ a w ɔ f t͡s ɛ m
udzielali	u d͡ʑ ɛ l a l i
ujawnieniem	u j a v ɲ ɛ ɲ ɛ m
umarłem	u m a r w ɛ m
urszuli	u r ʂ u l i
usprawiedliwione	u s p r a v j ɛ d l i v j ɔ n ɛ
utracona	u t r a t͡s ɔ n a
utrudniony	u t r u d ɲ ɔ n ɘ
uzgodnione	u z ɡ ɔ d ɲ ɔ n ɛ
uzupełnieniem	u z u p ɛ w ɲ ɛ ɲ ɛ m
ułożyło	u w ɔ ʐ ɘ w ɔ
uśmiechnąłem	u ɕ m j ɛ x n ɔ w ɛ m
uświadomi	u ɕ f j a d ɔ m i
varese	v a r ɛ s ɛ
voldemort	v ɔ l d ɛ m ɔ r t
voyage	v ɔ j a ʂ
wejdz	v ɛ j t͡s
welt	v ɛ l t
widelca	v i d ɛ l t͡s a
wietnamczyków	v j ɛ t n a m t͡ʂ ɘ k u f
wii	v j i
więzienna	v j ɛ w̃ ʑ ɛ n n a
wklejam	f k l ɛ j a m
wmawiaj	v m a v j a j
wniesione	v ɲ ɛ ɕ ɔ n ɛ
writers	v r i t ɛ r s
wrzody	v ʐ ɔ d ɘ
wskazana	f s k a z a n a
wstawiam	f s t a v j a m
wychowani	v ɘ x ɔ v a ɲ i
wychwala	v ɘ x f a l a
wydawcę	v ɘ d a f t͡s ɛ
wygladalo	v ɘ ɡ l a d a l ɔ
wyjasnia	v ɘ j a s ɲ a
wyjściowego	v ɘ j ɕ t͡ɕ ɔ v ɛ ɡ ɔ
wykopalisk	v ɘ k ɔ p a l i s k
wynalazku	v ɘ n a l a s k u
wyniosą	v ɘ ɲ ɔ s ɔ w̃
wyrazach	v ɘ r a z a x
wyraznie	v ɘ r a z ɲ ɛ
wyrosną	v ɘ r ɔ s n ɔ w̃
wyrządził	v ɘ ʐ ɔ ɲ d͡ʑ i w
wystartowało	v ɘ s t a r t ɔ v a w ɔ
wyznaczy	v ɘ z n a t͡ʂ ɘ
wyznawcą	v ɘ z n a f t͡s ɔ w̃
wyścigowych	v ɘ ɕ t͡ɕ i ɡ ɔ v ɘ x
wzmocnieniem	v z m ɔ t͡s ɲ ɛ ɲ ɛ m
wzniesieniu	v z ɲ ɛ ɕ ɛ ɲ u
wędkarzy	v ɛ n t k a ʐ ɘ
xxix	ɛ k s i k s
zabroniona	z a b r ɔ ɲ ɔ n a
zabudową	z a b u d ɔ v ɔ w̃
zabytkowa	z a b ɘ t k ɔ v a
zadzwon	z a d͡z v ɔ n
zagęszczenie	z a ɡ ɛ n ʂ t͡ʂ ɛ ɲ ɛ
zagłębiu	z a ɡ w ɛ m b j u
zainstalował	z a i n s t a l ɔ v a w
zainstaluj	z a i n s t a l u j
zaliczkę	z a l i t͡ʂ k ɛ
zameldował	z a m ɛ l d ɔ v a w
zamieszana	z a m j ɛ ʂ a n a
zamożnym	z a m ɔ ʐ n ɘ m
zaopatrzony	z a ɔ p a t ʂ ɔ n ɘ
zapasowego	z a p a s ɔ v ɛ ɡ ɔ
zaplanowanego	z a p l a n ɔ v a n ɛ ɡ ɔ
zarazki	z a r a s k i
zarodku	z a r ɔ t k u
zastrzyki	z a s t ʂ ɘ k i
zastępy	z a s t ɛ m p ɘ
zatopiony	z a t ɔ p j ɔ n ɘ
zatrzymań	z a t ʂ ɘ m a ɲ
zawalenia	z a v a l ɛ ɲ a
zawod	z a v ɔ t
zaznaczony	z a z n a t͡ʂ ɔ n ɘ
zaślubin	z a ɕ l u b i n
zdjęta	z d j ɛ n t a
zdobienia	z d ɔ b j ɛ ɲ a
zdobywaniu	z d ɔ b ɘ v a ɲ u
zemdleję	z ɛ m d l ɛ j ɛ
zezwolono	z ɛ z v ɔ l ɔ n ɔ
zgodną	z ɡ ɔ d n ɔ w̃
zgodziłem	z ɡ ɔ d͡ʑ i w ɛ m
zgwałcone	z ɡ v a w t͡s ɔ n ɛ
zmarłemu	z m a r w ɛ m u
znaczkiem	z n a t͡ʂ k j ɛ m
znacznemu	z n a t͡ʂ n ɛ m u
znajdz	z n a j t͡s
znudził	z n u d͡ʑ i w
zrealizowała	z r ɛ a l i z ɔ v a w a
zrezygnuję	z r ɛ z ɘ ɡ n u j ɛ
zrzeszonych	z ʐ ɛ ʂ ɔ n ɘ x
zrównoważonej	z r u v n ɔ v a ʐ ɔ n ɛ j
zwiastunem	z v j a s t u n ɛ m
zwracałam	z v r a t͡s a w a m
łęcznej	w ɛ n t͡ʂ n ɛ j
śledzia	ɕ l ɛ d͡ʑ a
śrub	ɕ r u p
źródłowym	ʑ r u d w ɔ v ɘ m
ado	a d ɔ
akceptując	a k t͡s ɛ p t u j ɔ n t͡s
alejki	a l ɛ j k i
aleksa	a l ɛ k s a
aleś	a l ɛ ɕ
anomalie	a n ɔ m a l j ɛ
antychrysta	a n t ɘ x r ɘ s t a
apart	a p a r t
arkady	a r k a d ɘ
aspen	a s p ɛ n
attention	a t t ɛ n t j ɔ n
aud	a w t
automatycznym	a w t ɔ m a t ɘ t͡ʂ n ɘ m
bankowa	b a ŋ k ɔ v a
bartlett	b a r t l ɛ t
barwniki	b a r v ɲ i k i
belgowie	b ɛ l ɡ ɔ v j ɛ
berlińskiego	b ɛ r l i ɲ s k j ɛ ɡ ɔ
berman	b ɛ r m a n
bezdomne	b ɛ z d ɔ m n ɛ
bezmyślne	b ɛ z m ɘ ɕ l n ɛ
beznadziejnych	b ɛ z n a d͡ʑ ɛ j n ɘ x
biblijnego	b i b l i j n ɛ ɡ ɔ
biblijnej	b i b l i j n ɛ j
biegniesz	b j ɛ ɡ ɲ ɛ ʂ
bieńkowska	b j ɛ ɲ k ɔ f s k a
biskupia	b i s k u p j a
bociana	b ɔ t͡ɕ a n a
bolívar	b ɔ l i v a r
bop	b ɔ p
borg	b ɔ r k
brick	b r i t͡s k
bronia	b r ɔ ɲ j a
budząc	b u d͡z ɔ n t͡s
błyszcząca	b w ɘ ʂ t͡ʂ ɔ n t͡s a
celeste	t͡s ɛ l ɛ s t ɛ
centymetra	t͡s ɛ n t ɘ m ɛ t r a
chirurgicznej	x i r u r ɡ i t͡ʂ n ɛ j
chojnicach	x ɔ j ɲ i t͡s a x
chrystusowi	x r ɘ s t u s ɔ v i
ciemniejsza	t͡ɕ ɛ m ɲ ɛ j ʂ a
cieszyłem	t͡ɕ ɛ ʂ ɘ w ɛ m
cięzko	t͡ɕ ɛ n s k ɔ
codzien	t͡s ɔ d͡ʑ ɛ n
cyril	t͡s ɘ r i l
czołowa	t͡ʂ ɔ w ɔ v a
czyżbyś	t͡ʂ ɘ ʐ b ɘ ɕ
daenerys	d a ɛ n ɛ r ɘ s
daszyńskiego	d a ʂ ɘ ɲ s k j ɛ ɡ ɔ
defensywie	d ɛ f ɛ n s ɘ v j ɛ
dekalogu	d ɛ k a l ɔ ɡ u
demonstruje	d ɛ m ɔ n s t r u j ɛ
diagnostyczne	d j a ɡ n ɔ s t ɘ t͡ʂ n ɛ
diet	d j ɛ t
dior	d j ɔ r
dochodził	d ɔ x ɔ d͡ʑ i w
dodawał	d ɔ d a v a w
dody	d ɔ d ɘ
doktorskiej	d ɔ k t ɔ r s k j ɛ j
dopływu	d ɔ p w ɘ v u
dorian	d ɔ r j a n
doskwiera	d ɔ s k f j ɛ r a
doszlo	d ɔ ʂ l ɔ
dotrzymuje	d ɔ t ʂ ɘ m u j ɛ
dotykiem	d ɔ t ɘ k j ɛ m
doświadczyło	d ɔ ɕ f j a t t͡ʂ ɘ w ɔ
dub	d u p
dun	d u n
dynamicznych	d ɘ n a m i t͡ʂ n ɘ x
dynamicznym	d ɘ n a m i t͡ʂ n ɘ m
dyskusyjna	d ɘ s k u s ɘ j n a
dziennikarskich	d͡ʑ ɛ n ɲ i k a r s k i x
dębowe	d ɛ m b ɔ v ɛ
długosza	d w u ɡ ɔ ʂ a
eboli	ɛ b ɔ l i
elektroniką	ɛ l ɛ k t r ɔ ɲ i k ɔ w̃
elizy	ɛ l i z ɘ
facetow	f a t͡s ɛ t ɔ f
faszystowskich	f a ʂ ɘ s t ɔ f s k i x
feet	f i t
finałach	f i n a w a x
fleming	f l ɛ m i ŋ k
flying	f l ɘ i ŋ k
fortune	f ɔ r t u n ɛ
fundamentalną	f u n d a m ɛ n t a l n ɔ w̃
funkcjonowały	f u ŋ k t͡s j ɔ n ɔ v a w ɘ
getting	ɡ ɛ t i ŋ k
grupce	ɡ r u p t͡s ɛ
grzesia	ɡ ʐ ɛ ɕ a
gubernatorów	ɡ u b ɛ r n a t ɔ r u f
gustawa	ɡ u s t a v a
gwałcą	ɡ v a w t͡s ɔ w̃
głębsza	ɡ w ɛ m p ʂ a
haines	x a i n ɛ s
hamleta	x a m l ɛ t a
héctor	x ɛ t͡s t ɔ r
idiotki	i d j ɔ t k i
ignorowania	i ɡ n ɔ r ɔ v a ɲ a
iluzję	i l u z j ɛ
importowanych	i m p ɔ r t ɔ v a n ɘ x
informatycznego	i n f ɔ r m a t ɘ t͡ʂ n ɛ ɡ ɔ
interweniowali	i n t ɛ r v ɛ ɲ ɔ v a l i
irma	i r m a
janowa	j a n ɔ v a
jezusowego	j ɛ z u s ɔ v ɛ ɡ ɔ
jęczmienia	j ɛ n t͡ʂ m j ɛ ɲ a
kajaków	k a j a k u f
katia	k a t j a
kawalerskim	k a v a l ɛ r s k i m
kayah	k a j a x
kensington	k ɛ n s i ŋ k t ɔ n
kiboli	k i b ɔ l i
kochankę	k ɔ x a ŋ k ɛ
komisarzy	k ɔ m i s a ʐ ɘ
koncentracyjne	k ɔ n t͡s ɛ n t r a t͡s ɘ j n ɛ
konfrontację	k ɔ n f r ɔ n t a t͡s j ɛ
konwencjonalnych	k ɔ n v ɛ n t͡s j ɔ n a l n ɘ x
kopuły	k ɔ p u w ɘ
kostnego	k ɔ s t n ɛ ɡ ɔ
kończących	k ɔ ɲ t͡ʂ ɔ n t͡s ɘ x
krakowsko	k r a k ɔ f s k ɔ
księżną	k ɕ ɛ n ʐ n ɔ w̃
kuchcińskiego	k u x t͡ɕ i ɲ s k j ɛ ɡ ɔ
kucyki	k u t͡s ɘ k i
kurdystanu	k u r d ɘ s t a n u
kursują	k u r s u j ɔ w̃
kuzynkę	k u z ɘ ŋ k ɛ
kwity	k f i t ɘ
lamb	l a m p
laserem	l a s ɛ r ɛ m
latynosi	l a t ɘ n ɔ ɕ i
lean	l ɛ a n
lecieli	l ɛ t͡ɕ ɛ l i
leczona	l ɛ t͡ʂ ɔ n a
lexus	l ɛ k s u s
leżałam	l ɛ ʐ a w a m
lodowych	l ɔ d ɔ v ɘ x
lokacie	l ɔ k a t͡ɕ ɛ
lower	l ɔ v ɛ r
lżejsza	l ʐ ɛ j ʂ a
machając	m a x a j ɔ n t͡s
macieju	m a t͡ɕ ɛ j u
majowym	m a j ɔ v ɘ m
malarstwie	m a l a r s t f j ɛ
manny	m a n n ɘ
marcos	m a r t͡s ɔ s
margo	m a r ɡ ɔ
masza	m a ʂ a
maszynowych	m a ʂ ɘ n ɔ v ɘ x
maślane	m a ɕ l a n ɛ
mechanizmami	m ɛ x a ɲ i z m a m i
memow	m ɛ m ɔ f
minecrafta	m i n ɛ k r a f t a
mistrzyń	m i s t ʂ ɘ ɲ
mlodych	m l ɔ d ɘ x
mokradeł	m ɔ k r a d ɛ w
motta	m ɔ t t a
mołotow	m ɔ w ɔ t ɔ f
muszkieterów	m u ʂ k j ɛ t ɛ r u f
nabywa	n a b ɘ v a
nadciśnienia	n a t t͡ɕ i ɕ ɲ ɛ ɲ a
nakrycia	n a k r ɘ t͡ɕ a
naprzeciwka	n a p ʂ ɛ t͡ɕ i f k a
narzeczonym	n a ʐ ɛ t͡ʂ ɔ n ɘ m
natchnienia	n a t x ɲ ɛ ɲ a
nauczycielskie	n a u t͡ʂ ɘ t͡ɕ ɛ l s k j ɛ
nawierzchnię	n a v j ɛ ʂ x ɲ ɛ
nawigacyjne	n a v i ɡ a t͡s ɘ j n ɛ
nawy	n a v ɘ
nazwałabym	n a z v a w a b ɘ m
naładowany	n a w a d ɔ v a n ɘ
neurolog	n ɛ w r ɔ l ɔ k
neutralnej	n ɛ w t r a l n ɛ j
nieformalne	ɲ ɛ f ɔ r m a l n ɛ
nieistniejącym	ɲ ɛ i s t ɲ ɛ j ɔ n t͡s ɘ m
niekompetentni	ɲ ɛ k ɔ m p ɛ t ɛ n t ɲ i
niemki	ɲ ɛ m k i
niepewnej	ɲ ɛ p ɛ v n ɛ j
niepewnych	ɲ ɛ p ɛ v n ɘ x
niepełne	ɲ ɛ p ɛ w n ɛ
nieprzyjemności	ɲ ɛ p ʂ ɘ j ɛ m n ɔ ɕ t͡ɕ i
nierównej	ɲ ɛ r u v n ɛ j
nieuczciwych	ɲ ɛ u t͡ʂ t͡ɕ i v ɘ x
niezabudowanej	ɲ ɛ z a b u d ɔ v a n ɛ j
niezawisłości	ɲ ɛ z a v i s w ɔ ɕ t͡ɕ i
niezłej	ɲ ɛ z w ɛ j
nikolai	ɲ i k ɔ l a i
nolana	n ɔ l a n a
nominalnie	n ɔ m i n a l ɲ ɛ
nowicjuszy	n ɔ v i t͡s j u ʂ ɘ
obalili	ɔ b a l i l i
obciął	ɔ p t͡ɕ ɔ w
obiekcje	ɔ b j ɛ k t͡s j ɛ
obrotowe	ɔ b r ɔ t ɔ v ɛ
obrócił	ɔ b r u t͡ɕ i w
obsadą	ɔ p s a d ɔ w̃
obserwacjach	ɔ p s ɛ r v a t͡s j a x
obsługujący	ɔ p s w u ɡ u j ɔ n t͡s ɘ
obwodach	ɔ b v ɔ d a x
obywatelstwem	ɔ b ɘ v a t ɛ l s t f ɛ m
obłędu	ɔ b w ɛ n d u
ocalił	ɔ t͡s a l i w
oceniali	ɔ t͡s ɛ ɲ a l i
odbierany	ɔ d b j ɛ r a n ɘ
odbiły	ɔ d b i w ɘ
odczuwane	ɔ t t͡ʂ u v a n ɛ
odesłany	ɔ d ɛ s w a n ɘ
odesłał	ɔ d ɛ s w a w
odkrytych	ɔ t k r ɘ t ɘ x
odliczania	ɔ d l i t͡ʂ a ɲ a
odludziu	ɔ d l u d͡ʑ u
odpuściłem	ɔ t p u ɕ t͡ɕ i w ɛ m
odtwarza	ɔ t t f a ʐ a
odłożone	ɔ d w ɔ ʐ ɔ n ɛ
ogródki	ɔ ɡ r u t k i
okrzykiem	ɔ k ʂ ɘ k j ɛ m
opcjach	ɔ p t͡s j a x
opisami	ɔ p i s a m i
opracowanych	ɔ p r a t͡s ɔ v a n ɘ x
opracowywane	ɔ p r a t͡s ɔ v ɘ v a n ɛ
opłacalności	ɔ p w a t͡s a l n ɔ ɕ t͡ɕ i
oryginałem	ɔ r ɘ ɡ i n a w ɛ m
osiągnięto	ɔ ɕ ɔ ŋ ɡ ɲ ɛ n t ɔ
osiągnąłem	ɔ ɕ ɔ ŋ ɡ n ɔ w ɛ m
oskarżeniem	ɔ s k a r ʐ ɛ ɲ ɛ m
ostrożnością	ɔ s t r ɔ ʐ n ɔ ɕ t͡ɕ ɔ w̃
oszczędzam	ɔ ʂ t͡ʂ ɛ n d͡z a m
otwierający	ɔ t f j ɛ r a j ɔ n t͡s ɘ
otworzenia	ɔ t f ɔ ʐ ɛ ɲ a
owsiankę	ɔ f ɕ a ŋ k ɛ
owłosione	ɔ v w ɔ ɕ ɔ n ɛ
ołeh	ɔ w ɛ x
pakowania	p a k ɔ v a ɲ a
pamiec	p a m j ɛ t͡s
panelach	p a n ɛ l a x
parlamentarnymi	p a r l a m ɛ n t a r n ɘ m i
parlamentów	p a r l a m ɛ n t u f
partnerowi	p a r t n ɛ r ɔ v i
pedagogów	p ɛ d a ɡ ɔ ɡ u f
pedofilskich	p ɛ d ɔ f i l s k i x
personalna	p ɛ r s ɔ n a l n a
pes	p ɛ s
pestki	p ɛ s t k i
